Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
16-06-25,SPXW250616C06020000,12.34,2.64,12.4,13.6,16049,2.1342,0.9992,0.0007,1046,6020.00,SPXW250616P06020000,0.05,-61,0,0.05,99245,1.3659,-0.0008,0.0007,578
16-06-25,SPXW250616C06025000,9,0.6,7.5,9.3,32710,1.4138,0.998,0.0028,3735,6025.00,SPXW250616P06025000,0.05,-64.6,0,0.05,91158,0.8473,-0.002,0.0028,776
16-06-25,SPXW250616C06030000,2.8,-4.4,2.8,2.9,78651,0.3527,0.9769,0.064,3481,6030.00,SPXW250616P06030000,0.1,-68.35,0.1,0.2,102312,0.6279,-0.2271,0.1323,360
16-06-25,SPXW250616C06035000,0.1,-6.1,0.1,0.15,97516,0.535,0.0011,0.0033,1584,6035.00,SPXW250616P06035000,2.5,-69.85,2,2.5,55732,0.5455,-0.9989,0.0033,366
16-06-25,SPXW250616C06040000,0.05,-5.15,0,0.05,107154,1.0143,0.0005,0.0007,1518,6040.00,SPXW250616P06040000,6.4,-70,6.4,8.2,52008,0,-0.9995,0.0007,973
16-06-25,SPXW250616C06045000,0.04,-4.36,0,0.05,88138,1.522,0.0003,0.0003,1422,6045.00,SPXW250616P06045000,12,-68.55,10.2,12.9,27398,0,-0.9997,0.0003,211
17-06-25,SPXW250617C06020000,26.66,-12.3,10.8,11.1,5022,0.2082,0.4108,0.0105,2755,6020.00,SPXW250617P06020000,10.14,6.75,19.3,19.5,6135,0.2076,-0.5892,0.0105,2465
17-06-25,SPXW250617C06025000,23.08,-11.05,8.7,9,2772,0.2046,0.3572,0.0102,855,6025.00,SPXW250617P06025000,11.67,6.9,22.2,22.5,4660,0.2033,-0.6428,0.0102,1736
17-06-25,SPXW250617C06030000,19.77,-10.3,6.9,7.1,6793,0.2015,0.3052,0.0097,1687,6030.00,SPXW250617P06030000,13.2,10.2,25.2,25.6,5468,0.2009,-0.6948,0.0097,1339
17-06-25,SPXW250617C06035000,16.71,-8.7,5.4,5.6,4661,0.1998,0.2563,0.009,883,6035.00,SPXW250617P06035000,15.1,11.55,28.5,29.5,4149,0.2,-0.7437,0.009,961
17-06-25,SPXW250617C06040000,14.03,-7.4,4.1,4.3,6435,0.1982,0.2118,0.0082,1335,6040.00,SPXW250617P06040000,17.4,12.35,32.2,33.3,3383,0.1984,-0.7882,0.0082,954
17-06-25,SPXW250617C06045000,11.61,-6.2,3.2,3.3,4509,0.1972,0.1725,0.0072,804,6045.00,SPXW250617P06045000,20.4,13.64,36.1,37.3,1800,0.1964,-0.8275,0.0072,361
18-06-25,SPXW250618C06020000,38.3,-13,24.5,24.8,465,0.1946,0.4618,0.0056,392,6020.00,SPXW250618P06020000,20.47,17,31.7,32,632,0.1947,-0.5381,0.0056,267
18-06-25,SPXW250618C06025000,35.6,-10.4,22,22.3,824,0.1926,0.4333,0.0056,598,6025.00,SPXW250618P06025000,22.65,15,34.2,34.5,1294,0.1927,-0.5667,0.0056,912
18-06-25,SPXW250618C06030000,32.1,-10.5,19.7,20,840,0.191,0.4045,0.0056,364,6030.00,SPXW250618P06030000,24.5,14.47,36.8,37.2,1115,0.1904,-0.5955,0.0056,730
18-06-25,SPXW250618C06035000,29,-10.55,17.5,17.8,932,0.189,0.3757,0.0055,3003,6035.00,SPXW250618P06035000,26.55,11.25,39.6,40,913,0.1887,-0.6243,0.0055,840
18-06-25,SPXW250618C06040000,26.2,-9.9,15.5,15.8,1035,0.1874,0.3471,0.0054,747,6040.00,SPXW250618P06040000,27.9,13.9,42.6,43,658,0.1868,-0.653,0.0054,324
18-06-25,SPXW250618C06045000,23.7,-7.95,13.6,13.9,840,0.1854,0.3188,0.0053,405,6045.00,SPXW250618P06045000,31.03,11.45,45.4,46.7,791,0.186,-0.6812,0.0053,429
20-06-25,SPXW250620C06025000,47.3,-12.7,33.7,34.1,550,0.1692,0.4622,0.0041,1470,6025.00,SPXW250620P06025000,32.17,13.3,43.7,44.2,904,0.1691,-0.5379,0.0041,802
20-06-25,SPX250620C06030000,40.43,-10.6,27.9,28.6,1434,0.1608,0.4353,0.0044,3658,6030.00,SPX250620P06030000,30.4,-34.85,42.8,44.1,2223,0.1609,-0.5647,0.0044,3677
20-06-25,SPXW250620C06030000,43.46,-9.7,31.1,31.5,448,0.1675,0.4413,0.0041,639,6030.00,SPXW250620P06030000,33.9,10.7,46.1,46.6,829,0.1672,-0.5587,0.0041,839
20-06-25,SPX250620C06035000,38.8,-9.76,25.4,26.2,423,0.1591,0.4124,0.0044,5147,6035.00,SPX250620P06035000,39.2,17.59,45.4,46.8,152,0.1597,-0.5876,0.0044,3505
20-06-25,SPXW250620C06035000,40.43,-12.85,28.6,29,533,0.1658,0.4203,0.0041,470,6035.00,SPXW250620P06035000,35.97,14,48.6,49.1,631,0.1655,-0.5798,0.0041,441
20-06-25,SPX250620C06040000,34.46,-12.15,23.1,23.8,758,0.1574,0.3896,0.0044,9684,6040.00,SPX250620P06040000,34.5,19.9,48.1,49.3,717,0.1577,-0.6105,0.0044,9250
23-06-25,SPXW250623C06020000,56.9,11.4,43.5,43.9,205,0.1451,0.489,0.0035,323,6020.00,SPXW250623P06020000,38.92,-46.23,47.7,48.2,126,0.145,-0.5111,0.0035,317
23-06-25,SPXW250623C06025000,54.5,18.9,40.7,41.1,285,0.1437,0.4714,0.0035,357,6025.00,SPXW250623P06025000,38.4,-27.56,50,50.4,335,0.1436,-0.5286,0.0035,396
23-06-25,SPXW250623C06030000,50.4,-8.5,38,38.5,272,0.1425,0.4536,0.0035,318,6030.00,SPXW250623P06030000,39.2,18.26,52.3,52.7,259,0.1424,-0.5464,0.0035,227
23-06-25,SPXW250623C06035000,47.59,9.35,35.4,35.9,343,0.1412,0.4356,0.0035,320,6035.00,SPXW250623P06035000,42.01,-51.39,54.7,55.1,437,0.1411,-0.5645,0.0035,321
23-06-25,SPXW250623C06040000,44.49,-11.1,32.9,33.4,229,0.1399,0.4174,0.0035,357,6040.00,SPXW250623P06040000,49.2,-28.71,57.2,57.7,372,0.1398,-0.5827,0.0035,271
23-06-25,SPXW250623C06045000,37,9.8,30.6,31,180,0.1387,0.399,0.0035,159,6045.00,SPXW250623P06045000,49.5,-49.85,59.8,60.3,228,0.1385,-0.601,0.0035,188
24-06-25,SPXW250624C06020000,60.8,10.25,48.6,49,13,0.1491,0.4925,0.0031,339,6020.00,SPXW250624P06020000,42.32,9.68,52.3,52.7,103,0.149,-0.5075,0.0031,276
24-06-25,SPXW250624C06025000,55.4,15.55,45.7,46.2,151,0.1477,0.4767,0.0032,115,6025.00,SPXW250624P06025000,48,-47.87,54.4,54.9,97,0.1476,-0.5234,0.0032,111
24-06-25,SPXW250624C06030000,51.24,13.64,43,43.5,45,0.1465,0.4606,0.0032,106,6030.00,SPXW250624P06030000,44.68,-49.42,56.7,57.2,35,0.1463,-0.5395,0.0032,45
24-06-25,SPXW250624C06035000,53.71,18.31,40.3,40.8,83,0.1451,0.4443,0.0032,83,6035.00,SPXW250624P06035000,48.09,-48.81,59,59.5,26,0.1449,-0.5558,0.0032,229
24-06-25,SPXW250624C06040000,47.2,9.3,37.8,38.2,41,0.1438,0.4278,0.0032,239,6040.00,SPXW250624P06040000,47.5,-52.4,61.4,62,47,0.1438,-0.5723,0.0032,34
24-06-25,SPXW250624C06045000,43.88,12.63,35.3,35.7,9,0.1425,0.4111,0.0032,38,6045.00,SPXW250624P06045000,49.5,-53.3,64,64.4,106,0.1425,-0.5889,0.0032,96
25-06-25,SPXW250625C06020000,62.8,16.55,53,53.5,37,0.1512,0.4958,0.0029,204,6020.00,SPXW250625P06020000,48.24,12.1,56,56.5,80,0.151,-0.5043,0.0029,226
25-06-25,SPXW250625C06025000,57.95,14.1,50.2,50.6,27,0.1499,0.4811,0.0029,582,6025.00,SPXW250625P06025000,46.28,-48.47,58.1,58.6,187,0.1497,-0.5189,0.0029,169
25-06-25,SPXW250625C06030000,60.56,19.01,47.4,47.8,21,0.1486,0.4662,0.0029,234,6030.00,SPXW250625P06030000,48.07,-49.28,60.4,60.9,41,0.1485,-0.5338,0.0029,55
25-06-25,SPXW250625C06035000,56.8,17.5,44.7,45.1,18,0.1473,0.4512,0.003,61,6035.00,SPXW250625P06035000,49.4,-50.75,62.7,63.1,28,0.1473,-0.5488,0.003,33
25-06-25,SPXW250625C06040000,54.48,17.43,42.1,42.5,52,0.1461,0.436,0.003,58,6040.00,SPXW250625P06040000,51.6,-51.4,65,65.5,48,0.146,-0.5641,0.003,78
25-06-25,SPXW250625C06045000,46.87,11.82,39.5,40,38,0.1449,0.4206,0.003,79,6045.00,SPXW250625P06045000,57.6,-48.2,67.5,68,126,0.1447,-0.5795,0.003,121
26-06-25,SPXW250626C06020000,78.5,28.6,57.2,57.6,24,0.1528,0.4986,0.0027,59,6020.00,SPXW250626P06020000,51.23,-43.97,59.5,60,50,0.1527,-0.5014,0.0027,33
26-06-25,SPXW250626C06025000,62.03,14.48,54.3,54.8,14,0.1516,0.485,0.0027,68,6025.00,SPXW250626P06025000,54.1,-43.65,61.6,62.1,71,0.1514,-0.5151,0.0027,60
26-06-25,SPXW250626C06030000,63,17.85,51.5,52,168,0.1504,0.4711,0.0027,187,6030.00,SPXW250626P06030000,56.2,-44.2,63.8,64.3,149,0.1503,-0.5289,0.0027,141
26-06-25,SPXW250626C06035000,58.43,15.53,48.7,49.2,20,0.149,0.4571,0.0028,35,6035.00,SPXW250626P06035000,55.3,-47.8,66.1,66.5,87,0.1491,-0.543,0.0028,55
26-06-25,SPXW250626C06040000,53.8,13.1,46.1,46.6,118,0.148,0.4429,0.0028,85,6040.00,SPXW250626P06040000,59.23,-46.57,68.4,68.9,22,0.1478,-0.5572,0.0028,22
26-06-25,SPXW250626C06045000,56.16,17.61,43.5,44,15,0.1467,0.4286,0.0028,36,6045.00,SPXW250626P06045000,61.2,-47.6,70.8,71.3,66,0.1466,-0.5715,0.0028,69
27-06-25,SPXW250627C06020000,72.04,11.5,61.9,62.5,31,0.155,0.5038,0.0025,3616,6020.00,SPXW250627P06020000,51.34,-46.46,62.5,63,123,0.1549,-0.4963,0.0025,358
27-06-25,SPXW250627C06025000,72.2,20.3,59,59.6,128,0.1538,0.491,0.0026,1079,6025.00,SPXW250627P06025000,53.2,12.2,64.5,65.1,183,0.1535,-0.5091,0.0026,1081
27-06-25,SPXW250627C06030000,65.87,16.37,56.1,56.7,40,0.1525,0.478,0.0026,280,6030.00,SPXW250627P06030000,55.1,-35.1,66.7,67.3,190,0.1525,-0.522,0.0026,223
27-06-25,SPXW250627C06035000,65.9,18.8,53.3,53.9,52,0.1512,0.4649,0.0026,175,6035.00,SPXW250627P06035000,57.7,-38.6,68.9,69.5,112,0.1513,-0.5352,0.0026,82
27-06-25,SPXW250627C06040000,60.2,-11.1,50.6,51.2,99,0.1501,0.4516,0.0026,607,6040.00,SPXW250627P06040000,58.18,-50.22,71.2,71.8,734,0.1501,-0.5485,0.0026,569
27-06-25,SPXW250627C06045000,55.56,12.91,48,48.6,68,0.149,0.4381,0.0026,85,6045.00,SPXW250627P06045000,64.38,-46.57,73.5,74.1,101,0.1488,-0.5619,0.0026,141
30-06-25,SPXW250630C06020000,80,21.3,66.6,67.2,81,0.1464,0.5049,0.0024,1180,6020.00,SPXW250630P06020000,59.52,-42.38,67,67.6,55,0.1465,-0.4951,0.0024,148
30-06-25,SPXW250630C06025000,77.6,-6.69,63.7,64.3,117,0.1453,0.493,0.0024,1815,6025.00,SPXW250630P06025000,57.7,14.8,69.1,69.6,153,0.1455,-0.507,0.0024,1776
30-06-25,SPXW250630C06030000,69.2,15.5,60.8,61.4,41,0.1442,0.481,0.0024,230,6030.00,SPXW250630P06030000,62,-45,71.2,71.8,151,0.1444,-0.5191,0.0024,162
30-06-25,SPXW250630C06035000,70.3,10.45,58.1,58.6,32,0.1432,0.4688,0.0024,126,6035.00,SPXW250630P06035000,64.02,-45.48,73.4,74,135,0.1433,-0.5313,0.0024,112
30-06-25,SPXW250630C06040000,67.96,18.96,55.3,55.9,571,0.1422,0.4564,0.0024,725,6040.00,SPXW250630P06040000,62.83,-49.41,75.7,76.2,1058,0.1424,-0.5436,0.0024,1056
30-06-25,SPXW250630C06045000,65,9,52.7,53.2,70,0.1412,0.444,0.0024,159,6045.00,SPXW250630P06045000,68.98,17.1,78,78.6,68,0.1413,-0.5561,0.0024,58
